carat,cut,color,clarity,depth,table,x,y,z
0.2,Premium,D,VS2,62.3,60.0,3.73,3.68,2.31
0.33,Ideal,G,SI2,61.9,56.0,4.45,4.41,2.74
0.33,Premium,G,VS1,61.6,60.0,4.46,4.41,2.73
0.36,Ideal,D,SI2,62.0,56.0,4.6,4.56,2.84
0.46,Premium,E,VS2,61.5,60.0,4.95,4.91,3.03
0.43,Very Good,H,VS2,61.9,55.0,4.8,4.95,3.02
0.57,Premium,E,SI1,62.2,55.0,5.36,5.31,3.32
0.51,Ideal,G,VVS2,60.1,56.0,5.19,5.22,3.13
0.54,Ideal,G,VVS2,61.0,56.0,5.3,5.25,3.22
0.96,Premium,I,SI2,59.1,62.0,6.48,6.38,3.79
0.77,Ideal,H,VS2,61.3,56.0,5.91,5.94,3.63
0.74,Good,H,VS2,57.5,57.0,5.94,6.01,3.44
1.01,Premium,D,VS1,61.6,58.0,6.44,6.42,3.96
1.04,Premium,H,I1,61.6,61.0,6.47,6.45,3.98
1.02,Ideal,F,SI1,62.3,56.0,6.41,6.44,4.0
1.97,Very Good,H,VS2,62.9,59.0,7.9,8.01,5.0
2.01,Premium,I,SI1,60.1,59.0,8.24,8.19,4.94
1.4,Ideal,G,VS2,61.7,56.0,7.2,7.25,4.46
